0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
N,B,C,N,,,,,,,,,,,
C,O,C,C,,,,,,,,,,,
C,C,Cr,C,H,,,,,,,,,,
Ti,Cl,Cl,N,C,C,C,C,C,,,,,,
C,O,O,O,,,,,,,,,,,
C,C,Se,O,,,,,,,,,,,
C,C,C,C,N,,,,,,,,,,
C,S,C,H,H,,,,,,,,,,
C,C,Se,C,H,,,,,,,,,,
C,C,C,As,,,,,,,,,,,
Se,C,C,,,,,,,,,,,,
Si,C,Br,Br,Si,,,,,,,,,,
Pd,S,C,C,S,S,,,,,,,,,
F,B,,,,,,,,,,,,,
C,C,As,H,,,,,,,,,,,
Au,C,N,,,,,,,,,,,,
C,Se,Se,H,H,,,,,,,,,,
Ag,C,Ag,P,,,,,,,,,,,
P,S,S,C,C,,,,,,,,,,
C,S,O,C,H,,,,,,,,,,
Bi,Br,Br,C,C,C,C,C,,,,,,,
C,I,C,C,H,,,,,,,,,,
C,C,Br,C,Fe,,,,,,,,,,
B,B,S,S,,,,,,,,,,,
C,C,Ti,C,H,,,,,,,,,,
O,Si,B,,,,,,,,,,,,
Se,C,Br,Br,C,,,,,,,,,,
N,O,C,,,,,,,,,,,,
C,C,I,H,H,,,,,,,,,,
S,C,C,Pd,,,,,,,,,,,
S,O,C,N,,,,,,,,,,,
Si,Si,C,C,C,,,,,,,,,,
C,C,Hg,C,,,,,,,,,,,
C,C,N,C,O,,,,,,,,,,
C,Ge,C,C,,,,,,,,,,,
O,W,,,,,,,,,,,,,
C,C,F,H,H,,,,,,,,,,
C,Cd,H,H,H,,,,,,,,,,
C,Se,C,C,C,,,,,,,,,,
C,C,Cl,H,H,,,,,,,,,,
Si,N,N,C,C,,,,,,,,,,
C,S,O,C,,,,,,,,,,,
C,Au,C,,,,,,,,,,,,
S,O,O,O,,,,,,,,,,,
C,C,P,Fe,C,,,,,,,,,,
C,P,C,H,H,,,,,,,,,,
Sb,C,Br,N,Br,N,,,,,,,,,
C,Br,C,C,Fe,,,,,,,,,,
C,C,C,C,Ir,,,,,,,,,,
C,C,C,C,,,,,,,,,,,
C,P,C,Os,C,,,,,,,,,,
C,C,C,F,Fe,,,,,,,,,,
C,W,C,H,H,,,,,,,,,,
C,Se,H,H,H,,,,,,,,,,
N,O,H,H,H,,,,,,,,,,
B,O,O,O,,,,,,,,,,,
C,Cl,Cl,Cl,C,,,,,,,,,,
C,Se,N,N,,,,,,,,,,,
C,N,N,C,,,,,,,,,,,
Sn,Ge,C,C,C,,,,,,,,,,
C,C,Br,H,,,,,,,,,,,
N,N,Si,C,,,,,,,,,,,
Si,Si,C,C,Si,,,,,,,,,,
Ge,Sn,Sn,Sn,Sn,,,,,,,,,,
C,N,O,C,C,,,,,,,,,,
Pd,Cl,P,Cl,S,,,,,,,,,,
O,O,C,,,,,,,,,,,,
C,C,C,Mo,C,,,,,,,,,,
C,Se,C,,,,,,,,,,,,
P,N,C,C,Ag,,,,,,,,,,
P,Se,C,C,C,,,,,,,,,,
N,S,H,,,,,,,,,,,,
C,P,C,H,,,,,,,,,,,
C,Cl,C,C,H,,,,,,,,,,
C,F,F,F,O,,,,,,,,,,
Pt,Br,Br,C,C,,,,,,,,,,
C,O,O,S,,,,,,,,,,,
C,Ag,N,,,,,,,,,,,,
I,Sb,,,,,,,,,,,,,
N,Ru,C,C,,,,,,,,,,,
C,C,C,Si,,,,,,,,,,,
C,S,S,S,C,,,,,,,,,,
S,N,N,N,,,,,,,,,,,
C,I,C,N,,,,,,,,,,,
C,Cl,F,H,H,,,,,,,,,,
C,C,Cl,H,,,,,,,,,,,
C,N,C,C,N,,,,,,,,,,
O,As,,,,,,,,,,,,,
C,Si,C,O,,,,,,,,,,,
C,C,O,N,C,,,,,,,,,,
Cl,Sb,,,,,,,,,,,,,
N,C,Cl,,,,,,,,,,,,
C,P,N,N,,,,,,,,,,,
C,C,C,Br,,,,,,,,,,,
N,C,C,Au,,,,,,,,,,,
S,S,S,,,,,,,,,,,,
S,N,C,O,,,,,,,,,,,
P,C,C,N,Ag,,,,,,,,,,
C,Fe,C,Br,C,,,,,,,,,,
C,C,Fe,Sn,C,,,,,,,,,,
C,P,C,O,,,,,,,,,,,
C,C,Ga,C,,,,,,,,,,,
C,C,N,C,S,,,,,,,,,,
Se,Br,C,Br,C,,,,,,,,,,
C,N,I,C,,,,,,,,,,,
Br,Pt,,,,,,,,,,,,,
Te,Cl,Cl,C,C,,,,,,,,,,
S,C,O,O,O,,,,,,,,,,
Pt,P,P,Si,Si,,,,,,,,,,
C,O,N,C,,,,,,,,,,,
Se,Cu,C,Cu,,,,,,,,,,,
C,O,S,C,H,,,,,,,,,,
S,Ti,C,,,,,,,,,,,,
C,N,O,N,,,,,,,,,,,
Mo,S,C,Cl,S,C,C,C,C,Mo,,,,,
S,C,C,Ir,,,,,,,,,,,
O,O,Si,,,,,,,,,,,,
Pd,C,C,C,C,,,,,,,,,,
C,C,C,N,N,,,,,,,,,,
N,N,N,H,,,,,,,,,,,
Cl,Sn,,,,,,,,,,,,,
O,S,H,,,,,,,,,,,,
Zn,,,,,,,,,,,,,,
Pd,Cl,Cl,S,S,,,,,,,,,,
O,P,H,,,,,,,,,,,,
O,C,,,,,,,,,,,,,
P,Ni,C,C,C,,,,,,,,,,
C,Ga,C,C,,,,,,,,,,,
Se,C,C,Pd,,,,,,,,,,,
C,B,N,C,H,,,,,,,,,,
Se,W,C,,,,,,,,,,,,
P,Ru,O,C,C,,,,,,,,,,
N,C,C,C,,,,,,,,,,,
Se,C,Se,,,,,,,,,,,,
C,C,I,I,,,,,,,,,,,
P,N,C,C,C,,,,,,,,,,
H,Os,,,,,,,,,,,,,
N,S,H,H,,,,,,,,,,,
C,C,C,Ru,C,,,,,,,,,,
Pt,I,I,C,C,,,,,,,,,,
Au,Cl,Cl,Cl,N,N,,,,,,,,,
C,O,C,Co,,,,,,,,,,,
C,C,C,Br,C,,,,,,,,,,
P,O,C,C,H,,,,,,,,,,
C,S,N,N,H,,,,,,,,,,
N,H,H,H,,,,,,,,,,,
Pt,P,S,C,P,,,,,,,,,,
Si,Sn,H,H,H,,,,,,,,,,
C,C,C,Rh,H,,,,,,,,,,
C,C,O,O,H,,,,,,,,,,
C,O,N,H,H,,,,,,,,,,
P,Se,Se,C,C,,,,,,,,,,
I,C,C,,,,,,,,,,,,
C,Cl,C,C,Cl,,,,,,,,,,
C,F,F,F,S,,,,,,,,,,
P,Se,Se,O,O,,,,,,,,,,
C,C,N,C,,,,,,,,,,,
C,O,C,O,,,,,,,,,,,
C,S,Br,C,,,,,,,,,,,
C,O,O,N,,,,,,,,,,,
C,Bi,C,C,C,,,,,,,,,,
P,C,C,N,C,,,,,,,,,,
Ge,Sn,H,H,H,,,,,,,,,,
P,F,F,F,F,F,C,,,,,,,,
C,Cu,C,C,,,,,,,,,,,
C,S,C,C,C,,,,,,,,,,
C,Bi,C,H,H,,,,,,,,,,
C,C,N,O,H,,,,,,,,,,
C,C,Cl,Cl,,,,,,,,,,,
Ni,C,C,I,C,C,C,C,,,,,,,
C,C,C,Cl,C,,,,,,,,,,
O,O,Mo,,,,,,,,,,,,
