0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C,C,N,N,,,,,,,,,,,
B,C,C,C,,,,,,,,,,,
C,P,C,Fe,C,,,,,,,,,,
N,C,C,B,,,,,,,,,,,
N,Se,Se,C,,,,,,,,,,,
C,Ru,C,C,H,,,,,,,,,,
C,S,C,I,,,,,,,,,,,
C,C,F,O,,,,,,,,,,,
Se,C,,,,,,,,,,,,,
Si,Si,Si,C,C,,,,,,,,,,
B,C,Br,Br,,,,,,,,,,,
W,O,C,C,O,N,C,C,C,C,,,,,
Sb,Br,Br,C,C,C,,,,,,,,,
Zr,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Br,Ru,,,,,,,,,,,,,
C,C,C,C,Cl,,,,,,,,,,
C,C,O,P,,,,,,,,,,,
N,C,C,C,O,,,,,,,,,,
C,C,O,C,Fe,,,,,,,,,,
C,Sb,C,C,,,,,,,,,,,
C,C,Br,C,,,,,,,,,,,
C,Ge,H,H,H,,,,,,,,,,
Ru,Cl,Cl,P,C,C,C,C,C,C,,,,,
C,I,C,H,,,,,,,,,,,
Au,C,Cl,,,,,,,,,,,,
N,C,S,N,,,,,,,,,,,
P,C,C,O,Pt,,,,,,,,,,
C,C,S,,,,,,,,,,,,
N,S,C,,,,,,,,,,,,
C,P,C,C,,,,,,,,,,,
C,Cl,C,C,C,,,,,,,,,,
O,C,P,,,,,,,,,,,,
P,N,C,N,,,,,,,,,,,
N,P,C,,,,,,,,,,,,
C,Br,N,N,,,,,,,,,,,
Os,O,C,Br,Br,C,C,C,C,,,,,,
Si,Si,C,I,I,,,,,,,,,,
N,H,H,H,H,,,,,,,,,,
C,N,F,F,H,,,,,,,,,,
C,S,S,C,,,,,,,,,,,
C,C,Se,C,Fe,,,,,,,,,,
S,N,N,,,,,,,,,,,,
C,N,O,H,,,,,,,,,,,
C,C,C,N,H,,,,,,,,,,
H,As,,,,,,,,,,,,,
C,C,Cl,C,,,,,,,,,,,
C,S,Si,N,,,,,,,,,,,
C,Zr,C,C,H,,,,,,,,,,
O,Te,Te,,,,,,,,,,,,
C,Fe,C,C,C,,,,,,,,,,
I,Ni,,,,,,,,,,,,,
S,O,O,O,C,,,,,,,,,,
C,C,Br,Br,H,,,,,,,,,,
C,C,Rh,C,H,,,,,,,,,,
C,N,N,N,H,,,,,,,,,,
S,Ir,H,,,,,,,,,,,,
O,C,N,,,,,,,,,,,,
C,N,O,,,,,,,,,,,,
Ni,C,P,C,P,,,,,,,,,,
Pd,P,Cl,P,Cl,,,,,,,,,,
Si,O,O,O,C,,,,,,,,,,
N,C,H,H,,,,,,,,,,,
C,Os,C,C,P,,,,,,,,,,
C,C,Br,Br,,,,,,,,,,,
Si,Si,C,Cl,Cl,,,,,,,,,,
N,N,N,C,,,,,,,,,,,
C,P,C,Si,,,,,,,,,,,
O,Re,,,,,,,,,,,,,
O,S,C,,,,,,,,,,,,
C,C,C,Hf,H,,,,,,,,,,
C,C,C,Sn,,,,,,,,,,,
C,C,P,,,,,,,,,,,,
H,C,,,,,,,,,,,,,
O,P,C,,,,,,,,,,,,
P,Cl,Cl,C,,,,,,,,,,,
C,O,S,S,,,,,,,,,,,
C,Si,Si,C,H,,,,,,,,,,
Pt,P,P,Cl,Cl,,,,,,,,,,
C,N,C,P,H,,,,,,,,,,
O,C,B,,,,,,,,,,,,
O,Si,N,,,,,,,,,,,,
C,C,C,Ir,C,,,,,,,,,,
Ni,P,P,S,S,,,,,,,,,,
C,Cl,Cl,N,N,,,,,,,,,,
Ir,Cl,S,C,S,C,C,C,C,,,,,,
C,B,C,C,Fe,,,,,,,,,,
S,I,C,,,,,,,,,,,,
P,C,O,O,H,,,,,,,,,,
N,C,Se,,,,,,,,,,,,
C,C,Te,H,H,,,,,,,,,,
C,C,N,N,F,,,,,,,,,,
C,C,C,C,Bi,,,,,,,,,,
C,C,C,S,S,,,,,,,,,,
C,C,O,C,O,,,,,,,,,,
Ge,O,C,O,C,,,,,,,,,,
C,Sn,C,C,,,,,,,,,,,
P,O,C,C,C,,,,,,,,,,
N,O,C,O,,,,,,,,,,,
P,C,C,C,Ni,,,,,,,,,,
Pt,C,C,S,S,,,,,,,,,,
Os,P,C,C,C,C,C,H,H,H,,,,,
N,C,H,,,,,,,,,,,,
P,S,O,Se,S,,,,,,,,,,
C,C,N,,,,,,,,,,,,
C,F,N,N,,,,,,,,,,,
C,C,O,O,C,,,,,,,,,,
C,C,F,C,C,,,,,,,,,,
Si,S,C,C,C,,,,,,,,,,
Br,B,,,,,,,,,,,,,
Zr,C,C,C,C,C,C,C,C,C,C,C,C,,
C,O,C,F,,,,,,,,,,,
C,Ru,N,N,,,,,,,,,,,
C,S,C,H,,,,,,,,,,,
C,N,Au,N,,,,,,,,,,,
C,N,S,N,,,,,,,,,,,
Si,C,C,C,H,,,,,,,,,,
C,C,S,F,F,,,,,,,,,,
O,As,H,,,,,,,,,,,,
C,N,Ag,N,,,,,,,,,,,
N,N,O,N,,,,,,,,,,,
C,Pd,N,H,H,,,,,,,,,,
H,Si,,,,,,,,,,,,,
C,C,N,O,C,,,,,,,,,,
C,S,C,,,,,,,,,,,,
Si,C,O,C,C,,,,,,,,,,
Se,Ge,P,,,,,,,,,,,,
C,Br,Br,H,H,,,,,,,,,,
I,Pt,,,,,,,,,,,,,
S,Co,C,,,,,,,,,,,,
Si,Si,C,Br,Br,,,,,,,,,,
C,C,F,C,F,,,,,,,,,,
C,C,S,C,C,,,,,,,,,,
Sn,Cl,C,C,C,,,,,,,,,,
S,C,,,,,,,,,,,,,
Pt,Cl,C,P,P,,,,,,,,,,
C,O,C,O,H,,,,,,,,,,
C,Au,N,N,,,,,,,,,,,
P,Au,O,N,O,,,,,,,,,,
C,S,Cl,C,C,,,,,,,,,,
Cl,Pt,,,,,,,,,,,,,
C,Ge,C,F,,,,,,,,,,,
C,S,F,C,H,,,,,,,,,,
C,Si,C,H,H,,,,,,,,,,
P,Se,O,N,O,,,,,,,,,,
Si,C,C,O,O,,,,,,,,,,
C,N,H,H,,,,,,,,,,,
Se,Cl,Cl,Cl,C,,,,,,,,,,
Br,Ge,,,,,,,,,,,,,
C,C,C,F,,,,,,,,,,,
C,Fe,C,N,C,,,,,,,,,,
Ge,C,C,C,C,,,,,,,,,,
Sb,N,N,C,,,,,,,,,,,
C,Se,F,F,F,,,,,,,,,,
C,O,S,N,,,,,,,,,,,
C,I,I,C,H,,,,,,,,,,
C,C,Ru,H,H,,,,,,,,,,
Se,O,N,C,,,,,,,,,,,
Pb,,,,,,,,,,,,,,
B,F,C,C,,,,,,,,,,,
C,C,N,S,H,,,,,,,,,,
C,S,I,N,,,,,,,,,,,
N,C,Cl,Cl,,,,,,,,,,,
C,C,Ge,,,,,,,,,,,,
